MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR94893	R06787	3HCINNMH|R_3HCINNMH	RXN-10040	rxn04602	27846|27847|27848|27849	1.14.13.127
MNXR94894		3HCO3_NAt|R_3HCO3_NAt				
MNXR94895		3HKYNAKGAT|R_3HKYNAKGAT|3HKYNAKGATm|R_3HKYNAKGATm				2.6.1.7
MNXR94896		3HLYTCL|R_3HLYTCL				4.1.1.28
MNXR94897	R05305	3HOPCD|R_3HOPCD	1.1.1.259-RXN	rxn03617	11168|11169|11170|11171	1.1.1.259;1.1.1.35
MNXR94898		3HOXPACt2pp|R_3HOXPACt2pp				
MNXR94899	R03299	3HPAOX|R_3HPAOX		rxn02363		1.14.13.3;1.14.14.9
MNXR94900		3HPCOAHYD|R_3HPCOAHYD|r0596|R_r0596	RXN-6384	rxn02261		3.1.2.4
MNXR94901	R06866	3HPH5MBDCm|R_3HPH5MBDCm	RXN3O-73	rxn04680	44768|44769|44770|44771	4.1.1
MNXR94902	R01608	3HPPD|R_3HPPD|r0365|R_r0365	3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	rxn01174	13357|13358|13359|13360	1.1.1.59
MNXR94903	R06786	3HPPPNH|R_3HPPPNH	MHPHYDROXY-RXN	rxn04601	24785|24786|24787|24788	1.14.13.127
MNXR94904		3HPPtex|R_3HPPtex	TRANS-RXN0-465		34951|34952|34953|34954	
MNXR94905		3HPPtpp|R_3HPPtpp				
MNXR94906	R04172	3HXKYNDCL|R_3HXKYNDCL		rxn02913		4.1.1.-
MNXR94907	R04907	3HXKYNOXDA|R_3HXKYNOXDA		rxn03358		1.4.3.4
MNXR94908		3IPM3MT|R_3IPM3MT				
MNXR94909	R07127	3KGK|R_3KGK	RXN0-704	rxn04930	28222|28223|28224|28225	2.7.1.53
MNXR94910		3M2OBLOXRD|R_3M2OBLOXRD|r0385|R_r0385		rxn01244		1.2.4.4
MNXR94911		3M2OPLOXRD|R_3M2OPLOXRD|r0670|R_r0670		rxn02950		1.2.4.4
MNXR94912		3M4HDXPAC|R_3M4HDXPAC|r0754|R_r0754				1.2.1.5
MNXR94914	R05347	3MBZALDH|R_3MBZALDH	RXN-8580	rxn03649		1.1.1.21;1.1.1.90
MNXR94915		3MBZDH|R_3MBZDH	RXN-8583	rxn12781		1.2.1.28;1.2.1.3;1.2.1.7
MNXR94916		3MBt2pp|R_3MBt2pp				
MNXR94917		3MBt4pp|R_3MBt4pp				
MNXR94918		3MBtex|R_3MBtex				
MNXR94919	R04089	3MCAT23DOX|R_3MCAT23DOX		rxn02861		1.13.11.-;1.13.11.2;1.13.11.39
MNXR94920		3MLDAt|R_3MLDAt				
MNXR94921		3MMD|R_3MMD			25763|25764|25765|25766	1.1.1
MNXR94922		3MOBDC|R_3MOBDC	RXN-7643	rxn13203		4.1.1.72
MNXR94923		3MOBt2im|R_3MOBt2im				
MNXR94924		3MOBte|R_3MOBte|3MOBth|R_3MOBth|3MOBtm|R_3MOBtm		rxn09799|rxn11316		
MNXR94925	R03894	3MOPDC|R_3MOPDC	4.1.1.72-RXN	rxn02748	21108|21109|21110|21111	4.1.1.72
MNXR94926		3MOPt|R_3MOPt|3MOPtm|R_3MOPtm		rxn09798|rxn11317		
MNXR94927		3MOPt2im|R_3MOPt2im				
MNXR94928		3MOX4HOXPGALDOX|R_3MOX4HOXPGALDOX|r0756|R_r0756				1.2.1.5
MNXR94929		3MOX4HOXPGALDOX_NADP|R_3MOX4HOXPGALDOX_NADP|r0757|R_r0757				1.2.1.5
MNXR94930		3MOXTYRESSte|R_3MOXTYRESSte				
MNXR94931	R04890	3MOXTYROX|R_3MOXTYROX		rxn03342		1.4.3.4
MNXR94932	R01877	3NTD2pp|R_3NTD2pp|3NUCLE2|R_3NUCLE2	RXN-14115	rxn01367	27890|27891|27892|27893	3.1.3.6
MNXR94933		3NTD2pp_1|R_3NTD2pp_1				
MNXR94934	R02370	3NTD4pp|R_3NTD4pp|3NUCLE3|R_3NUCLE3	RXN-14090	rxn01704	27894|27895|27896|27897	3.1.3.6
MNXR94935	R01562	3NTD7l|R_3NTD7l|3NTD7pp|R_3NTD7pp|3NUCLE1|R_3NUCLE1	RXN-14126	rxn01139	27898|27899|27900|27901	3.1.3.6
MNXR94936		3NTD9pp|R_3NTD9pp|3NUCLE4|R_3NUCLE4	RXN-14124	rxn01549	27862|27863|27864|27865	3.1.3.6
MNXR94937		3NTYROXDApp|R_3NTYROXDApp			35107|35108|35109|35110	
MNXR94938		3OACOAR|R_3OACOAR				1.1.1.330
MNXR94939	R07758	3OACOAS|R_3OACOAS|RE0580L|R_RE0580L|RE0580R|R_RE0580R	RXN-9543	rxn07572	35315|35316|35317|35318	2.3.1.199
MNXR94940	R02990	3OADPCOAT|R_3OADPCOAT	3-OXOADIPATE-COA-TRANSFERASE-RXN	rxn02143	12048|12049|12050|12051	2.8.3.6
MNXR94941	R04534	3OAR100|R_3OAR100|3OAR100_1|R_3OAR100_1	RXN-9528	rxn05338		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94942	R04964	3OAR120|R_3OAR120|3OAR120_1|R_3OAR120_1		rxn05340		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94943		3OAR121|R_3OAR121		rxn07987		1.1.1.100
MNXR94944	R04566	3OAR140|R_3OAR140|3OAR140_1|R_3OAR140_1	RXN-9536	rxn05342		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94945		3OAR141|R_3OAR141		rxn07989		1.1.1.100
MNXR94946	R04543	3OAR160|R_3OAR160|3OAR160_1|R_3OAR160_1		rxn05336		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94947		3OAR161|R_3OAR161		rxn07991		1.1.1.100
MNXR94948		3OAR180|R_3OAR180|3OAR180_1|R_3OAR180_1		rxn07992		1.1.1.100
MNXR94949		3OAR181|R_3OAR181|3OAR181_1|R_3OAR181_1		rxn07993		1.1.1.100
MNXR94950		3OAR40|R_3OAR40		rxn07994		1.1.1.100
MNXR94951	R04533	3OAR40_1|R_3OAR40_1	RXN-9514	rxn05339		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94952	R04953	3OAR60|R_3OAR60|3OAR60_1|R_3OAR60_1		rxn05337		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94953	R04536	3OAR80|R_3OAR80|3OAR80_1|R_3OAR80_1	RXN-9524	rxn05341		1.1.1.100;2.3.1.-;2.3.1.85;2.3.1.86
MNXR94954		3OAS100|R_3OAS100|3OAS100_1|R_3OAS100_1				2.3.1.86
MNXR94955		3OAS120|R_3OAS120|3OAS120_1|R_3OAS120_1				2.3.1.86
MNXR94956		3OAS121|R_3OAS121				2.3.1.41
MNXR94957		3OAS140|R_3OAS140|3OAS140_1|R_3OAS140_1				2.3.1.86
MNXR94958		3OAS141|R_3OAS141				2.3.1.41
MNXR94959		3OAS160|R_3OAS160|3OAS160_1|R_3OAS160_1				2.3.1.86
MNXR94960		3OAS161|R_3OAS161				2.3.1.41
MNXR94961		3OAS180|R_3OAS180|3OAS180_1|R_3OAS180_1				2.3.1.41
MNXR94962		3OAS181|R_3OAS181|3OAS181_1|R_3OAS181_1				2.3.1.179
MNXR94963		3OAS60|R_3OAS60|3OAS60_1|R_3OAS60_1				2.3.1.86
MNXR94964		3OAS80|R_3OAS80|3OAS80_1|R_3OAS80_1				2.3.1.86
MNXR94965		3OPHB5Hm|R_3OPHB5Hm		rxn13204		
MNXR94966		3OPHB_5tm|R_3OPHB_5tm		rxn13205		
MNXR94967	R00829	3OXCOAT|R_3OXCOAT	RXN-3641	rxn00598	19481|19482|19483|19484	2.3.1.16;2.3.1.174
MNXR94968		3OXOADPt_ex|R_3OXOADPt_ex		rxn12786		
MNXR94969		3OXOADPt_pp|R_3OXOADPt_pp		rxn12673		
MNXR94970		3PEPTabcpp|R_3PEPTabcpp		rxn08003		
MNXR94971		3PEPTtex|R_3PEPTtex		rxn08004		
MNXR94972		3PG_pi_thr|R_3PG_pi_thr|3PGt6pp|R_3PGt6pp				
MNXR94973		3PGt6|R_3PGt6				
MNXR94974		3PGtex|R_3PGtex|3PGtx|R_3PGtx|r0926|R_r0926				
MNXR94975		3PHACOAOR|R_3PHACOAOR				
MNXR94976		3PHACTE|R_3PHACTE				3.1.2;3.1.2.20;3.1.2.23
MNXR94977		3SALAASPm|R_3SALAASPm				
MNXR94978		3SALACBOXL|R_3SALACBOXL|3SALACBOXL_cho|R_3SALACBOXL_cho				4.1.1.29
MNXR94979		3SALAOX|R_3SALAOX				
MNXR94980		3SALATAi|R_3SALATAi|3SALATAim|R_3SALATAim|AATG|R_AATG|AATGm|R_AATGm				2.6.1.1
MNXR94981		3SPYRSP|R_3SPYRSP|3SPYRSPh|R_3SPYRSPh|3SPYRSPm|R_3SPYRSPm|3SPYRSPm_1|R_3SPYRSPm_1				3.13.1
MNXR94982		3UMPt6|R_3UMPt6		rxn05480		
MNXR94983		3UMPtex|R_3UMPtex		rxn08005		
MNXR94984		3_4DHBZ1t_pp|R_3_4DHBZ1t_pp		rxn12671		
MNXR94985		3_4DHBZt2|R_3_4DHBZt2		rxn12246|rxn12672		
MNXR94986		3hoxpactex|R_3hoxpactex				
MNXR94988	R02532	41R2A1H12BOOX|R_41R2A1H12BOOX	RXN-10907	rxn01836		1.4.3.4
